overall,age
78,22
78,25
78,25
78,24
78,25
78,24
78,23
78,26
78,23
78,26
78,25
78,24
78,25
78,24
78,23
78,24
78,27
78,27
78,26
78,25
78,25
78,25
78,24
78,25
78,26
78,25
78,25
78,25
78,26
78,28
78,27
78,28
78,27
78,28
78,27
78,26
78,26
78,26
78,24
78,27
78,28
78,28
78,28
78,27
78,29
78,27
78,27
78,27
78,27
78,29
78,27
78,27
78,27
78,26
78,27
78,26
78,26
78,26
78,26
78,27
78,27
78,27
78,27
78,33
78,35
78,34
78,34
78,32
78,36
78,32
78,41
78,35
78,34
78,32
78,33
78,32
78,32
78,32
78,33
78,29
78,29
78,32
78,30
78,31
78,31
78,33
78,32
78,28
78,32
78,31
78,31
78,30
78,30
78,32
78,33
78,32
78,31
78,33
78,30
78,31
78,32
78,33
78,29
78,32
78,35
78,32
78,31
78,30
78,30
78,33
78,30
78,30
78,31
78,35
78,30
78,30
78,28
78,30
78,29
78,30
78,28
78,29
78,30
78,29
78,29
78,28
78,30
78,29
78,30
78,29
78,31
78,31
78,28
78,29
78,30
78,31
78,28
78,28
78,29
78,28
78,28
78,28
78,28
78,31
78,28
78,31
78,29
78,28
78,27
78,28
78,30
78,30
78,29
78,28
78,27
78,32
78,28
78,31
78,28
78,29
78,30
78,27
78,28
78,29
78,28
78,28
78,28
78,29
78,30
78,29
78,29
78,28
78,29
78,28
78,28
78,31
78,30
78,32
78,29
78,29
78,31
78,27
78,27
78,31
78,30
78,30
78,31
78,35
78,31
78,27
78,32
78,31
78,35
78,35
77,20
77,22
77,22
77,20
77,23
77,21
77,21
77,22
77,22
77,22
77,23
77,23
77,23
77,22
77,21
77,21
77,21
77,20
77,21
77,21
77,22
77,21
77,23
77,23
77,23
77,22
77,24
77,22
77,22
77,23
77,23
77,22
77,21
77,23
77,24
77,23
77,22
77,21
77,23
77,24
77,24
77,23
77,22
77,24
77,21
77,22
77,22
77,22
77,22
77,22
77,24
77,25
77,23
77,24
77,24
77,24
77,25
77,24
77,25
77,24
77,23
77,25
77,24
77,23
77,26
77,23
77,26
77,23
77,24
77,22
77,23
77,23
77,24
77,24
77,25
77,25
77,24
77,24
77,25
77,24
77,27
77,25
77,26
77,24
77,24
77,24
77,25
77,25
77,26
77,25
77,25
77,25
77,25
77,26
77,25
77,26
77,24
77,24
77,27
77,25
77,28
77,26
77,28
77,26
77,26
77,27
77,25
77,28
77,25
77,25
77,26
77,26
77,24
77,26
77,27
77,27
77,27
77,27
77,27
77,29
77,26
77,28
77,26
77,27
77,29
77,26
77,28
77,26
77,26
77,25
77,26
77,27
77,28
77,26
77,26
77,26
77,26
77,26
77,29
77,27
77,35
77,32
77,35
77,34
77,35
77,35
77,32
77,33
77,33
77,35
77,35
77,34
77,32
77,32
77,34
77,33
77,34
77,33
77,30
77,35
77,34
77,32
77,33
77,35
77,31
77,36
77,30
77,33
77,32
77,32
77,29
77,33
77,31
77,31
77,31
77,32
77,31
77,32
77,32
77,30
77,29
77,30
77,33
77,31
77,31
77,31
77,30
77,30
77,30
77,30
77,29
77,30
77,29
77,31
77,36
77,29
77,31
77,29
77,29
77,28
77,29
77,29
77,31
77,29
77,32
77,31
77,29
77,27
77,29
77,34
77,28
77,30
77,32
77,32
77,28
77,29
77,28
77,28
77,31
77,30
77,30
77,29
77,28
77,32
77,32
77,31
77,27
77,27
77,29
77,29
77,28
77,31
77,29
77,30
77,30
77,29
77,27
77,29
77,30
77,28
77,29
77,29
77,30
77,30
77,28
77,29
77,31
77,33
77,27
77,29
77,26
77,29
77,28
77,31
77,31
77,31
77,27
77,31
77,31
77,31
77,27
77,34
76,19
76,19
76,18
76,20
76,19
76,20
76,22
76,22
76,23
76,21
76,20
76,22
76,19
76,20
76,20
76,20
76,18
76,22
76,23
76,22
76,21
76,20
76,21
76,22
76,20
76,21
76,21
76,21
76,20
76,24
76,23
76,21
76,22
76,24
76,21
76,21
76,21
76,21
76,24
76,20
76,21
76,22
76,22
76,21
76,21
76,24
76,23
76,24
76,23
76,22
76,22
76,23
76,22
76,21
76,22
76,22
76,23
76,22
76,21
76,22
76,24
76,23
76,23
76,22
76,24
76,23
76,24
76,24
76,22
76,22
76,21
76,22
76,25
76,25
76,25
76,25
76,22
76,24
76,25
76,25
76,23
76,23
76,23
76,23
76,24
76,23
76,24
76,24
76,24
76,26
76,25
76,24
76,26
76,24
76,24
76,25
76,24
76,25
76,25
76,25
76,23
76,26
76,27
76,28
76,25
76,26
76,24
76,25
76,25
76,27
76,26
76,26
76,26
76,25
76,25
76,25
76,25
76,25
76,28
76,27
76,28
76,25
76,25
76,24
76,24
76,27
76,26
76,25
76,25
76,27
76,26
76,28
76,29
76,28
76,27
76,28
76,25
76,25
76,26
76,26
76,28
76,29
76,29
76,27
76,29
76,26
76,28
76,26
76,27
76,30
76,27
76,27
76,27
76,26
76,26
76,28
76,27
76,26
76,27
76,28
76,27
76,25
76,26
76,26
76,27
76,27
76,28
76,36
76,36
76,36
76,34
76,33
76,29
76,36
76,33
76,38
76,33
76,37
76,33
76,35
76,32
76,34
76,33
76,34
76,36
76,33
76,32
76,38
76,32
76,37
76,35
76,31
76,31
76,33
76,32
76,33
76,30
76,32
76,34
76,33
76,35
76,36
76,34
76,34
76,32
76,32
76,33
76,30
76,29
76,30
76,31
76,33
76,32
76,34
76,31
76,29
76,30
76,32
76,29
76,32
76,35
76,31
76,31
76,31
76,33
76,31
76,31
76,31
76,32
76,33
76,34
76,30
76,30
76,30
76,29
76,30
76,37
76,32
76,30
76,29
76,30
76,31
76,32
76,32
76,27
76,28
76,33
76,31
76,31
76,29
76,28
76,28
76,31
76,32
76,30
76,30
76,29
76,28
76,28
76,31
76,29
76,33
76,31
76,32
76,30
76,30
76,29
76,29
76,28
76,27
76,30
76,29
76,31
76,31
76,28
76,29
76,28
76,29
76,29
76,30
76,31
76,32
76,28
76,29
76,29
76,30
76,28
76,28
76,32
76,28
76,31
76,32
76,33
76,34
76,30
76,30
76,28
76,29
76,30
76,31
76,27
76,27
76,28
76,27
76,28
76,29
76,28
76,32
76,28
76,27
76,30
76,29
76,27
76,28
76,30
76,28
76,28
76,29
76,26
76,28
76,29
76,31
76,31
76,30
76,30
76,28
76,30
76,27
76,30
76,28
76,30
76,28
76,26
76,27
76,29
76,26
76,28
76,31
76,33
76,31
76,31
76,27
76,27
76,27
76,31
76,31
76,35
76,31
76,35
76,31
76,31
76,31
76,31
76,28
76,30
76,27
76,35
76,31
76,38
76,33
76,31
75,19
75,22
75,21
75,20
75,19
75,20
75,20
75,20
75,19
75,22
75,22
75,20
75,22
75,22
75,20
75,22
75,20
75,21
75,20
75,20
75,19
75,23
75,23
75,22
75,21
75,23
75,23
75,21
75,21
75,22
75,20
75,21
75,21
75,22
75,20
75,23
75,22
75,22
75,22
75,21
75,21
75,23
75,21
75,20
75,21
75,24
75,21
75,25
75,23
75,23
75,23
75,24
75,23
75,24
75,22
75,24
75,22
75,22
75,21
75,22
75,22
75,21
75,22
75,21
75,23
75,20
75,21
75,22
75,24
75,22
75,24
75,24
75,22
75,24
75,24
75,23
75,23
75,24
75,22
75,25
75,23
75,23
75,23
75,23
75,23
75,22
75,23
75,25
75,23
75,24
75,25
75,21
75,23
75,24
75,23
75,21
75,22
75,21
75,23
75,24
75,22
75,21
75,24
75,26
75,25
75,24
75,24
75,26
75,24
75,25
75,24
75,24
75,24
75,26
75,23
75,24
75,24
75,26
75,24
75,23
75,23
75,24
75,25
75,23
75,24
75,25
75,23
75,24
75,24
75,25
75,24
75,24
75,25
75,23
75,24
75,23
75,23
75,26
75,25
75,25
75,24
75,24
75,23
75,24
75,25
75,25
75,24
75,25
75,26
75,25
75,25
75,24
75,25
75,24
75,24
75,24
75,24
75,26
75,23
75,25
75,24
75,25
75,26
75,26
75,25
75,27
75,27
75,25
75,26
75,25
75,26
75,27
75,26
75,25
75,24
75,26
75,25
75,26
75,25
75,25
75,26
75,25
75,25
75,25
75,26
75,25
75,25
75,26
75,25
75,24
75,25
75,24
75,26
75,25
75,27
75,25
75,25
75,28
75,25
75,25
75,26
75,25
75,25
75,26
75,25
75,26
75,29
75,26
75,26
75,26
75,26
75,26
75,26
75,25
75,27
75,26
75,25
75,27
75,26
75,29
75,26
75,30
75,29
75,29
75,28
75,29
75,30
75,27
75,26
75,26
75,27
75,26
75,27
75,27
75,27
75,26
75,27
75,27
75,26
75,28
75,30
75,28
75,27
75,29
75,26
75,26
75,27
75,28
75,26
75,27
75,26
75,26
75,25
75,29
75,27
75,27
75,28
75,26
75,26
75,26
75,26
75,27
75,26
75,27
75,26
75,40
75,37
75,39
75,33
75,34
75,34
75,34
75,34
75,35
75,34
75,37
75,35
75,37
75,35
75,34
75,34
75,34
75,34
75,35
75,35
75,28
75,38
75,35
75,32
75,35
75,35
75,34
75,33
75,34
75,34
75,32
75,33
